epoch,w_formation_energy,w_energy_above_hull,w_band_gap,sum_weights
0,0.1148,0.244,7.3234,7.6822
1,0.128,0.4769,3.1679,3.7728
2,0.5051,1.3026,1.3271,3.1348
3,0.135,0.4459,4.897,5.4779
4,0.2226,0.9622,2.2511,3.4359
5,0.3267,1.4611,1.6697,3.4575
6,0.511,1.6814,0.2827,2.4751
7,0.7001,2.2538,0.1041,3.058
8,0.2212,0.4698,5.1942,5.8852
9,0.5032,1.9739,0.2345,2.7116
10,0.1009,0.3821,0.1142,0.5972
11,0.2052,0.9997,0.9893,2.1942
12,0.283,1.3704,1.9744,3.6278
13,0.6472,1.9391,0.0717,2.658
14,0.2079,0.7647,0.9899,1.9625
15,0.25,0.9104,5.5325,6.6929
16,0.7139,1.8189,0.0046,2.5374
17,0.1515,0.4383,2.9337,3.5235
18,0.3885,1.0718,2.6504,4.1107
19,0.2651,1.1023,8.4278,9.7952
20,0.3053,1.1858,2.1597,3.6508
21,0.0439,0.1699,7.8444,8.0582
22,0.5314,1.274,1.351,3.1564
23,0.1351,0.5277,3.4426,4.1054
24,0.2444,1.0089,5.0466,6.2999
25,0.6286,1.8053,0.6061,3.04
26,0.2321,1.0153,1.3021,2.5495
27,0.0559,0.2437,4.5022,4.8018
28,0.1784,0.7665,4.0358,4.9807
29,0.1443,0.4508,6.5854,7.1805
30,0.2301,0.9255,2.911,4.0666
31,0.04,0.2085,1.9355,2.184
32,0.0242,0.1092,4.4596,4.593
33,0.1537,0.6623,1.3679,2.1839
34,0.1553,0.5604,4.1454,4.8611
35,0.4562,1.6312,1.278,3.3654
36,0.3747,1.4548,1.2296,3.0591
37,0.1891,0.8377,4.2928,5.3196
38,0.0739,0.5116,3.5116,4.0971
39,0.0828,0.3925,1.9813,2.4566
40,0.0135,0.0942,0.9743,1.082
41,0.0876,0.6332,3.124,3.8448
42,0.0754,0.4305,3.7921,4.298
43,0.1245,0.6906,2.8962,3.7113
44,0.2586,1.3057,2.7819,4.3462
45,0.0329,0.171,2.4721,2.676
46,0.0529,0.3313,4.0611,4.4453
47,0.0317,0.1908,5.2257,5.4482
48,0.0431,0.2909,1.6943,2.0283
49,0.0533,0.362,4.6917,5.107
50,0.0457,0.453,1.8471,2.3458
51,0.0265,0.3581,1.5414,1.926
52,0.032,0.3871,3.7942,4.2133
53,0.0465,0.833,2.8248,3.7043
54,0.0622,0.6278,2.0561,2.7461
55,0.0203,0.2273,1.2837,1.5313
56,0.0228,0.256,1.4283,1.7071
57,0.049,0.8019,2.6096,3.4605
58,0.0303,1.0593,2.3,3.3896
59,0.0035,0.2872,0.2632,0.5539
60,0.004,0.6734,2.5578,3.2352
61,0.0005,0.261,2.2127,2.4742
62,0.0002,0.3751,3.9411,4.3164
63,0.0008,0.5975,1.5064,2.1047
64,0.0002,0.3563,2.984,3.3405
65,0.0003,0.7222,2.6136,3.3361
66,0.0003,0.4677,4.8988,5.3668
